,other_info,data_non_statistical,national_geographical_coverage,reporting_status,proxy_indicator,only_uk_data,geo_disag
3-1-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,True
3-3-3,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,True
17-4-1,,False,,notstarted,False,False,
11-6-1,"<p> Tables are based on quarterly data entered by LAs onto WasteDataFlow.  This data is published annually on a financial year basis( April to March). WasteDataFlow is a web-based system for quarterly reporting on Local Authority collected waste data by local authorities to central government. </p>  Recycling rates are different to those reported for indicator 12.5.1 because these data relate to all local authority waste for treatment, from both household and that not from households. Local Authority Collected Waste is mostly household waste but includes some business waste –similar in nature and composition to household waste where collected by the local authority. Other non household waste such as that from from municipal parks etc and some non-municipal fractions such as construction and demolition waste may also be collected.  This data does not include all waste included in the UN metadata - for example, waste from agricultural and industrial premises, schools and hospitals, and construction sites. Sewage sludge, and faecal sludge are also not included in these data. The methodology document for the data source can be found <a href=""https://www.gov.uk/government/statistics/local-authority-collected-waste-management-annual-results"">here.</a> Tables are based on quarterly data entered by local authorities onto WasteDataFlow. WasteDataFlow is a web-based system for the reporting of collection and disposal of waste by Local Authority’s to central government. See the WasteDataFlow website home page <a href=""https://www.wastedataflow.org/home.aspx"">here.</a> This data is published annually on a financial year basis. This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England,complete,True,False,True
3-b-2,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
5-6-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
6-2-1,"A framework for measuring faecal waste flows and safety factors has been developed and piloted in 12 countries (World Bank Water and Sanitation Program, 2014), and is being adopted and scaled up within the sanitation sector. This framework has served as the basis for indicators 6.2.1 and 6.3.1. Data on safe disposal and treatment are not available for all countries. However, sufficient data were available to make global and regional estimates of safely managed sanitation services in 2017. Presence of a handwashing station with soap and water does not guarantee that household members consistently wash hands at key times, but has been accepted as the most suitable proxy. Data were available for 70 countries in 2017. At present, UK data does not account for homeless rough sleepers. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,True,False,False
3-6-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,True
16-3-1,"For details of the Crime Survey for England and Wales, see the <a href= 'https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/methodologies/crimeandjusticemethodology'>user guide</a>  to crime statistics for England and Wales. Information about the different crime types can be found in chapter 5 of the user guide. This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,True,False,False
8-5-1,"<p>It is very important to observe that the ASHE and APS earnings are not directly comparable, and that APS data is used to disaggregate by disability only because ASHE cannot be disaggregated by disability. The APS data is based on the working population and covers age ranges 16 to 64. The ASHE data are collected in April, while APS data are collected across the whole year.</p><p> The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population-based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
17-19-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
6-6-1,"<p>Please see the blog <a href=""https://datasciencecampus.ons.gov.uk/using-satellite-imagery-to-report-changes-to-water-bodies-for-sdg-6-6-1"">Using satellite imagery to report changes to water bodies for SDG 6.6.1</a> for more information on this indicator.</p><p>Data for spatial extent and change of inland lake and reservoir open waters is derived from Earth Observation data (from the Landsat satellite programme). The resolution used does not pick up smaller waterbodies (including small lakes, rivers and streams). These data can be downloaded from the Global Surface Water Explorer (GSWE).</p><p>The data presented here have been constrained to official high-water mark boundaries, which helps ensure that coastal water is not included in estimates. Measures therefore differ slightly to those on the <a href=""https://www.sdg661.app/"">Freshwater Ecosystems Explorer</a>, a GSWE platform for presenting data specificaly for this indicator.</p><p>Persistent cloud cover can impact the quality of data collection. Anomolous years (likely due to cloud cover - 1994-1998 and 2004-2009) have therefore been excluded from the data presented here, with the exception of the baseline. The baseline period of 2001-2005 includes the anomolous years 2004 and 2005. To mitigate the impact of variable cloud cover, the modal value of each pixel across the baseline years has been used to calculate the average spatial extent in the baseline period. Further details on the source data and mitigating the impacts of these anomalous periods is provided in the <a href=""https://datasciencecampus.ons.gov.uk/projects/quality-and-methodology-extent-and-change-of-surface-water-statistics"">Data Science Campus Quality and Methodology document</a>.</p><p>HydroBASIN catchments are identified with numbers, however we have added descriptive names to each catchment in the dropdown menu - these are not official names. Work is in progress to provide interactive maps. While these are not yet available here, they can be viewed in the blog<a href=""https://datasciencecampus.ons.gov.uk/using-satellite-imagery-to-report-changes-to-water-bodies-for-sdg-6-6-1"">Using satellite imagery to report changes to water bodies for SDG 6.6.1</a>.</p>  Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
9-a-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
4-5-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
14-5-1,"This indicator is a component of UK Biodiversity Indicator C1, <a href=""http://jncc.defra.gov.uk/page-4241""> Protected areas</a> which comprises two additional measures - Total extent of protected areas - on-land; Condition of Areas / Sites of Special Scientific Interest. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,
6-5-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
11-6-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,True
15-1-2,,False,,notstarted,False,False,
5-3-1,"Estimates do not include or take account of marriages occurring abroad either before migrating to England and Wales or whilst as a resident of England and Wales. Estimates are based on the population estimates by marital status, specifically the population who are 'Single, never married or civil partnered'. Migrants will be included within these population estimates. Estimates try to indicate behaviour by exact age 18 and by exact age 17 and do not take into account; death, divorce or migration which could occur by age 24. For 2014 marriage statistics onwards, ever married will include people entering into a marriage with either an opposite sex or a same sex partner. Same sex couples converting their civil partnership into a marriage will be included with ever married because previous marital status is unknown; therefore within this table we are assuming a previous marital status (before civil partnership) of single, never married or civil partnered.   This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,True,False,False
8-10-1,"For the purposes of this indicator, adult population refers to all individuals aged 16 years and over. Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
8-6-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
12-2-1,"The choice of method used to calculate material footprint has an impact on the final estimates. In 2017, the Department for Environment, Food and Rural Affairs (Defra) consulted extensively with the University of Leeds about developing further environmentally relevant metrics for material use and resource efficiency, particularly in carbon terms. As a result, the University of Leeds have developed a multi-regional input-output (MRIO) approach, using a specifically derived UK MRIO database to underpin calculations. These estimates and further information on the Eurostat and University of Leeds approach are published in the <a href= ""https://www.ons.gov.uk/economy/environmentalaccounts/methodologies/measuringmaterialfootprintintheuk2008to2016"">Measuring material footprint</a> report. While data is available from 2000, it is not reported here because data from 2008 onwards are not directly comparable to those in earlier years. In addition, the Eurostat method is more suitable for international comparisons. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
7-1-1,The [Sustainable Energy for All (SE4ALL) Global Tracking Framework Report (2013)](https://www.worldbank.org/en/topic/energy/publication/Global-Tracking-Framework-Report) provides more details on the suggested methodology for tracking access to energy. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
16-7-2,"<p>We are reporting on data from 2013/14 as the data collection mode (from face-to-face to online/paper) changed and data would not be comparable with earlier years.</p><p>From 2013/14 to 2015/16, household income categories were - Band A1 - Under £5,000; Band A2 - £5,000 to £9,999; Band A3 - £10,000 to £14,999; Band A4 - £15,000 to £19,999; Band A5 - £20,000 to £29,999; Band A6 - £30,000 to £49,999; Band A7 - £50,000 to £74,999; Band A8 - £75,000 or more. From 2016/17 onwards, the household income categories were changed to - Band B1 - Under £5,199; Band B2 - £5,200 to £10,399; Band B3 - £10,400 to £15,599; Band B4 - £15,600 to £20,799; Band B5 - £20,800 to £31,199; Band B6 - £31,200 to £51,999; Band B7 - £52,000 to £74,999; Band B8 - £75,000 or more.</p><p>The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population-based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p><p>The required disaggregations for this indicator are sex, age, disability and population group. The global metadata specified by the United Nations defines population group as a nationally relevant concept, encompassing “groups with a distinct ethnicity, language, religion, indigenous status, nationality or other characteristics”. The currently available disaggregations by ethnicity and citizenship fall within “population group” as defined by the global metadata, so this indicator is considered as fully disaggregated.</p> This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England,complete,True,False,True
10-4-1,"Labour Share of GDP seeks to inform about the relative share of GDP which accrues to workers as compared to the share which accrues to capital in each reference period.  In Periods of economic recession this figure provides an indication of the extent to which falling output reduces labour income relative to profits. If Labour income falls at a greater rate than profits the labour income share will be expected to fall. Increased production and GDP often lead to improved living standards, depending on the distribution of real income and public policy among other factors, which are reflected in this indicator.  Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,
3-9-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England,complete,True,False,True
15-6-1,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,
15-2-1,"<h3>Woodland area estimates</h3><p>Where possible, figures are for the woodland area certified, rather than the land area certified.</p><p><a href=""https://data.gov.uk/dataset/f316113c-acdf-445b-8576-2bd87e81bf17/national-forest-inventory-woodland-gb-2018"">Woodland area estimates for Great Britain</a> are based on the <a href=""https://www.forestresearch.gov.uk/tools-and-resources/national-forest-inventory/"">National Forest Inventory (NFI) Woodland map</a>.</p><p>For Northern Ireland, following a change of methodology in 2012, woodland area estimates are based on the Northern Ireland Woodland Register. Northern Ireland and total UK figures for percentage of forest area with a long-term management plan, and forest area annual net change prior to 2013 are not shown here, as estimates before the change in methodology are not directly comparable to those after. Figures for calculating these are, however, available at <a href=""https://www.forestresearch.gov.uk/tools-and-resources/statistics/statistics-by-topic/woodland-statistics/"">Forest Research</a>.</p><p>The land area and forest area measurements used here are ‘flat’ as they do not take into account variations in relief e.g. mountains and valleys.</p><h3>Biomass stock</h3><p>Data for biomass stock are estimated using National Forest Inventory (NFI) estimates of 218 thousand oven dry tonnes for conifers, and 208 thousand oven dry tonnes for broadleaves in Great Britain (GB). It is assumed that the volume of deadwood per hectare is unchanged over time, and that all estimates per hectare for the UK are similar to GB levels. Growing stock estimates have been used to uprate GB biomass figures from the NFI report to UK figures and to derive a time series.</p><p>More information on biomass can be found in the Forestry Commission publication on <a href=""https://www.forestresearch.gov.uk/research/biomass-in-live-woodland-trees-in-britain/"">Biomass in live woodland trees in Britain</a>.</p><h3>Protected areas</h3><p>For Great Britain, the woodland area within legally protected areas has been estimated by overlaying the National Forest Inventory woodland map with maps of designated areas. Geological Sites of Special Scientific Interest have been excluded from this analysis, as the designation in these cases is unlikely to be related to the presence of woodland. A similar analysis was undertaken by the Northern Ireland Forest Service for the Forest Resources Assessment 2015.</p><h3>Long-term management plans</h3><p>All Forestry England, Forestry and Land Scotland, Natural Resources Wales, and Forest Service woodland from 2000 is assumed to have a long-term management plan. For private sector woodland, the area of woodland with a long-term management plan has been estimated from data held in administrative systems for Grants & Regulations, or for areas of certified woodland (if this is larger). This is likely to undercount the true level of woodland with a long-term management plan.</p><h3>Independently verified management certification schemes</h3><p>Independently verified management certification schemes for the UK are the Forest Stewardship Council (FSC) scheme and the Programme for the Endorsement of Forest Certification (PEFC) scheme. Many woodlands are certified under both. Certified woodland areas are often used as an indicator of sustainable forest management, however, woodland that is not certified may also be sustainably managed. Some choose not to become certified due to the cost involved and there may be little incentive for woodland owners to get their woodlands certified if timber production is not a major objective.</p><p>New certificates may relate to existing woodland that was not previously certified, or to newly planted areas.</p><h3>Further information</h3><p>For further information on the methodology and quality of woodland area estimates please see the <a href=""https://www.forestresearch.gov.uk/tools-and-resources/statistics/statistics-by-topic/woodland-statistics/"">Forest Research Woodland Statistics</a>.</p><p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
11-3-1,"The indicator is a comparison between 2013 and 2016 data on land consumption. Data was provided on land cover as manmade, unclassified, Natural or Mixed. For the calculation of this indicator, manmade was filtered out to calculate land consumption. Unclassified would cover land for which there may be building plans. For information on methodology please see the article <a href=""https://www.ons.gov.uk/economy/environmentalaccounts/articles/usinginnovativemethodstoreportagainstthesustainabledevelopmentgoals/2018-10-22"">Using innovative methods to report against the Sustainable Development Goals</a> Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.",False,Great Britain,complete,False,False,True
14-c-1,Data follows the UN specification for this indicator.,True,,complete,False,False,
15-4-2,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
5-5-1,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,,complete,False,False,
6-a-1,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
15-8-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
14-6-1,Data follows the UN specification for this indicator.,True,,complete,False,False,
17-6-1,"ITU collects data for this indicator through an annual questionnaire to national regulatory authorities, in the case of the UK this is <a href=""https://www.ofcom.org.uk/home"">Ofcom</a>. The disaggregated data up to 2018 is available from Source 1 (UN Global Database) and the latest figure for the headline measure is obtained from Source 2 (ITU). <br><br> The indicator fixed Internet broadband subscriptions, by speed, refers to the number of fixed-broadband subscriptions to the public Internet, split by advertised download speed. Fixed Internet broadband subscriptions refer to subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s. This includes cable modem, DSL, fibre-to-the-home/building, other fixed (wired)-broadband subscriptions, satellite broadband and terrestrial fixed wireless broadband. This total is measured irrespective of the method of payment. It excludes subscriptions that have access to data communications (including the Internet) via mobile-cellular networks. It should include fixed WiMAX and any other fixed wireless technologies. It includes both residential subscriptions and subscriptions for organizations. <br> Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
15-7-1,"For further information please see UNEP checklist of CITES species @ http://checklist.cites.org/#/en This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
12-7-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
16-3-2,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,England and Wales,complete,False,False,False
12-3-1,"<p>SDG 12.3 aims to reduce food loss and waste.  Current UK data is for food waste.</p> <p>Hospitality and Food Services data are a modelled result, based on changes in the number and types of hospitality and food service sites, and the assumption that food waste per site has remained constant since 2011. Currently there is not a data source to enable a UK-level estimate for food waste from this sector to be robustly estimated.</p> This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
11-5-1,"For more information, please see [Mortality Statistics Quality and Methodology Information](http://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/qmis/mortalitystatisticsinenglandandwalesqmi). This document contains important information on the strengths and limitations of the data, the quality of the output including the accuracy of the data, how it compares with related data, uses and users and how the output was created. This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,True,False,True
1-1-1,"For the main UK data series on low income households see the Households below average income (HBAI) statistics. Please note that the HBAI statistics should not be compared to those living under the international poverty line, however they may give a more representative view of low income housholds in the United Kingdom.  Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,
6-1-1,"In order to meet the criteria for a safely managed drinking water service, an improved water source should meet three criteria - it should be accessible on the premises (accessibility), water should be available when needed (availability), and the water supplied should be free from contamination (quality).  Many countries lack data on one or more elements of safely managed drinking water.  The WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (JMP) provide national estimates only when data are available on drinking water quality and at least one of the other criteria (accessibility and availability).  Regional and income group estimates are made when data are available for at least 30 percent of the population. Data on drinking water, sanitation and hygiene are produced by the Joint Monitoring Programme of the World Health Organization (WHO) and United Nations Children's Fund (UNICEF) based on administrative sources, national censuses and nationally representative household surveys. Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,
1-4-2,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
9-c-1,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
2-3-1,"Outputs and inputs are adjusted for quality by weighting the volumes by price. This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
17-1-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
8-4-1,"The choice of method used to calculate material footprint has an impact on the final estimates. In 2017, the Department for Environment, Food and Rural Affairs (Defra) consulted extensively with the University of Leeds about developing further environmentally relevant metrics for material use and resource efficiency, particularly in carbon terms. As a result, the University of Leeds have developed a multi-regional input-output (MRIO) approach, using a specifically derived UK MRIO database to underpin calculations. These estimates and further information on the Eurostat and University of Leeds approach are published in the <a href= ""https://www.ons.gov.uk/economy/environmentalaccounts/methodologies/measuringmaterialfootprintintheuk2008to2016"">Measuring material footprint</a> report. While data is available from 2000, it is not reported here because data from 2008 onwards are not directly comparable to those in earlier years. In addition, the Eurostat method is more suitable for international comparisons. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
12-c-1,,False,,notstarted,False,False,
4-b-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,False
16-5-2,"These experimental statistics are based on police recorded crime. As with other types of crime, it is recognised that the recorded crime series will not provide a good measure of the full extent of criminality as not all offences come to the attention of the police. Therefore data should be treated with caution. This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,England and Wales,complete,True,False,False
13-3-1,"This, or part of this, indicator is awaiting the development of internationally established methodology and standards (classified by the UN as tier 3). Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",True,,complete,False,False,
9-5-2,"<p>Full-time equivalent (FTE) figures come from the World Bank database. Headcount values are calculated from the Office for National Statistics' Labour Force Survey.</p><p>The Washington Group on Disability Statistics are often used to provide a cross-nationally comparable population- based measures of disability. Please see the article <a href=""https://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/disability/articles/measuringdisabilitycomparingapproaches/2019-08-06"">Measuring disability - comparing approaches</a> for a comparison between the GSS Harmonised measure (used here) and the Washington Group measure.</p><p> Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,True
2-5-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,United Kingdom,complete,True,True,
11-7-1,"Estimates for the extent of green space in urban areas have been developed through collaborative work between the Office for National Statistics (ONS) and the Ordnance Survey (OS) .  This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",False,Great Britain,complete,True,False,True
17-16-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,True,,complete,False,False,
16-9-1,Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
17-10-1,"The indicator is focused on Trade in Goods. Imports are assigned to a product sector based on their 6 digit code, rather than the 8 digit code provided on the database. This is because at 8 digit level codes are frequently altered. Therefore, when mapping sectors using the most recently updated tariff schedule, import product codes from prior years will not be captured in instances where they have been updated. To overcome this, sectors are assigned to one 6 digit code only. Other caveats to consider - AVEs are calculated on the basis of trade between the UK and the EU between 2017-2018. This may not reflect well the trading relationship between the UK and Developing nations, Least Developed nations and Small Island Developing Nations. To this end, the use of EU imports (as opposed to Rest of the World) could yield AVE inflationary effects, as EU imports are generally of higher quantity and higher price than imports from Rest of World. Where no trade has been recorded in 2017-18 between the UK-EU no AVE estimates have been derived for these goods in the sample. Additionally, missing values for both AVE rates and sectors arising from product code alterations affect the sample size. For AVEs, some of these missing values are overcome by 0% allocation where imports belong to regimes U10 (MFN Zero), U20 (GSP Zero) or U30 (Preference Zero). However, since such replacements cannot be made for non-zero tariff rate regimes, samples may contain disproportionate amounts of 0% rate tariffs, in turn, potentially yielding underestimating effects on simple average tariffs and weighted average tariffs calculations. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.",False,,complete,False,False,True
17-18-2,Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.,True,,complete,False,False,
4-a-1,"This indicator is being used as an approximation of the UN SDG Indicator. Where possible, we will work to identify or develop UK data to meet the global indicator specification. This indicator has been identified in collaboration with topic experts.",True,,complete,True,False,
10-7-1,,False,,notstarted,False,False,
9-4-1,All emissions intensity figures exclude consumer expenditure. Data follows the UN specification for this indicator. This indicator has been identified in collaboration with topic experts.,False,United Kingdom,complete,False,True,False
1-3-1,,False,,notstarted,False,False,
10-6-1,"The indicator is calculated independently for eleven different international institutions - The United Nations General Assembly, the United Nations Security Council, the United Nations Economic and Social Council, the International Monetary Fund, the International Bank for Reconstruction and Development, the International Finance Corporation, the African Development Bank, the Asian Development Bank, the Inter-American Development Bank, the World Trade Organisation, and the Financial Stability Board. Data follows the UN specification for this indicator. This indicator has not been identified in collaboration with topic experts.",False,United Kingdom,complete,False,True,False
